address,balance_wei,balance_human
0x9Bd2456AbE46d16Aa38117119eE2470F13E9cDf3,1828677740420000000000000,1828677.74042
0xC02fEbe6900E3D390172E2833e3c4fa9122B8f5d,1800000000000000000000000,1800000.0
0x0661aE04f5298b1a701AaBf3D1Bdb5490Bb49f62,1778427913454000000000000,1778427.9134540001
0xdd78feece454bED167e04DA87910308e4137198f,1704221345540000000000000,1704221.34554
0x294B392A7eF68C15A2443c0dfB786DAa3a53826a,1608392490000000000000000,1608392.49
0xe5c7AD1142855C5DCf4E0363EDfB3869C5349f10,1514214000000000000000000,1514214.0
0xb0c4BCcE3A5B626D5A419b2E01F5B9bE5e7A7a19,1505000000000049533440653,1505000.0000000496
0x273E3f4552C8EE60d4f10268Ce51bA289202Af87,1450463668377317000000000,1450463.668377317
0xc5522Ee944AF85e8b2213A84e4C9956f9f818D68,1432250000000000000000000,1432250.0
0x717A837Fe9E3201dAb2fB3644BB70955e7f5E470,1376238000000000000000000,1376238.0
0x137690aAecf8a50eBD9cFC7eAd10A4656c808B8b,1349760328384070000000000,1349760.32838407
0x71771a6cD32Fb3EeF74890AB1a18afE2e1a1B743,1338176202031767284091144,1338176.2020317672
0x53576c5c5c54d76E4B1bF629a6fEE03DF353657a,1310000000000000000000000,1310000.0
0x520736e0E82C966c94B6DbDB577933E3bC195d67,1300008003070000000000000,1300008.0030699999
0x78CE3800067D3797b861581fD525042AB51b919c,1286770971000000000000000,1286770.971
0xE1A90c1afA225389E83b635fA56373bE45518F6e,1250000000000000000000000,1250000.0
0xF8f7ff3D4Bb45ea7FFc5c90ebfE026b343783f60,1172969950000000000000000,1172969.95
0xB9c9ea78Cb519E96813E33563467e180957BBEC7,1165602000000000000000000,1165602.0
0x4e7164b6FCc4e8F5B267B4BdB0DB8f34b9394C0e,1125000000000000000000000,1125000.0
0x825fB79A8CF45799F7916c10eF17a72018226d81,1123264560000000000000000,1123264.56
0xb6ce039c80856A3F553c6C9F22386E09E08335aa,1111000000000000000000000,1111000.0
0xEDD6dd4a45A4C3e4FE3932085b14115cEaA5f601,1111000000000000000000000,1111000.0
0xD0Dfcd797119b3B2478a6633dfd1acC9cC111311,1106725671920000000000000,1106725.6719199999
0x0Ee3Dc2eF83c82573Fd92b86F94a19886863eB14,1101208000000000000000000,1101208.0
0x790D2661704D89120F2999b3FC2dfdCc6d4E8eE9,1093000000000000000000000,1093000.0
0x3d0CDa1A6E42C95a836E33f16d97C774a0e5CCBa,1080416406314100000000000,1080416.4063141
0x20c1B03d3F76ef14dcdC97B0705A64B7c5D056f0,1065834000000000000000000,1065834.0
0xFDA218F63A02c0B55363DEE3ba06cf18af36291f,1065715083000000000000000,1065715.083
0x174F2EFe2c1Dd3e046D90d6927A5f2DE0A8Fd01f,1000025000000000000000000,1000025.0
0x5F36906527d31AB3deF13FF213a2aC2E8879Da14,1000000000000000000000000,1000000.0
0xd798045569667A06bcd439A656122d7d475f49E6,1000000000000000000000000,1000000.0
0x4C95991AbC02a30B92a07Fc1935CD58804537ed8,1000000000000000000000000,1000000.0
0xCF754D9b8E62a1D33Edb4b93C2f2b8e3D12bF238,1000000000000000000000000,1000000.0
0x7656354162ac373A52783896E0DC9D1A1352d94d,1000000000000000000000000,1000000.0
0x8729c279196B7f2E4E8d14ef1ED4C79863DD4fd2,1000000000000000000000000,1000000.0
0x4E5aF6c2358ee364A465dBeE2155DBE1ce9bd09E,983264324660000000000000,983264.32466
0xc01B5d94Ed27FFdeDd5Ecff729A570b0775eCEb3,952684878000000000000000,952684.8779999999
0x825FA20957854148b0e59e4eCd1A1b4Ec8d2c725,938676000000000000000000,938676.0
0x7A7FaD4fCdBE6233a02e29cB26d946Fa6849277D,904262438000000000000000,904262.438
0xfD3Ff7dbE3f4d1BA90F3D96Db51314290f731609,880619323069710000000000,880619.3230697099
0x13400773958C46c9a704Fe39A6176D950F2b2E89,864005711041886653649936,864005.7110418866
0xc431b7E8b5399f3D56E53618287E89ebb4BFCa37,805000000000000000000000,805000.0
0xB7B3a4891c5678f6D295c4FD34a866a0F7113B51,800849925358116000000000,800849.9253581159
0xFBDA98C1B1dd3D09ADEB724e26e15Be32A0a3645,781250000000000000000000,781250.0
0xfb88eFA487756FF944F5Cd08c6eB8A825bf8Cdd3,762222065000000000000000,762222.0650000001
0xd9F6A80421f0a7c3e8f56DCf76c43A468FD0F5A4,749900000000000000000000,749900.0
0x5B48eb93103E18569CA611A850420Efd4C1C0Fd5,749750000000000000000000,749750.0
0xb61aadAB2e6e6720f07Dd5308E1947784454373a,728744895666700000000000,728744.8956667001
0x393F261B5781271978a2E1Fd78714b522D2406e1,678676661393548180000000,678676.6613935481
0xf097cb4511ff2B8677075934718014675ABE03c4,660649800000000000000000,660649.8
0xF42213c56e7414495014737FeaD51B8c9E670D7D,658002215420799920000000,658002.2154207999
0x2EB1a4287459D25B800375d22cb74140D829072b,654626176417192600000000,654626.1764171926
0x6AEe0e39fD74ebae5e375877E45fB55F827626F0,647175000000000000000000,647174.9999999999
0x75dED6b9F7fA0291Ff2A27b4e0Ff7A3c73135097,634875172800000000000000,634875.1728000001
0x7BE19aE61A0F1043De8B4e01AE37Ba4c718e3976,625000000000000000000000,625000.0
0xfe0447A5093bd3664e0133b25E5cbFe14Efe07e3,619041969516231800000000,619041.9695162319
0xBC01fb30217245efe406245e6a0Eb9D4D179c2D8,603496224402430320657527,603496.2244024304
0xBB09115617BE3ea3E7ceDec09aeC972B42163449,599471248822582224478694,599471.2488225822
0x600bf3Bd11f0C704aec9e64f043a7825504fF7Ea,589810292445281841041713,589810.2924452819
0x4a13002D9414FF99b40b0e7Fc61DF2f9B83b7F22,575064367380000000000000,575064.36738
0xA6E29566ddcD24C73978e6EB9a5C875Bc4f11b81,573384322500000000000000,573384.3225
0x58027389081632B4C6668f3f48Fc2c7214FACE60,563428462604891400000000,563428.4626048914
0x0B0Ca76F9dc89002d4b767A7c9Bc5D33334D57ed,560000000000000000000000,560000.0
0xa21Ec06ec9bB094692453A4E04aCB41c04E86e18,558187579659600000000000,558187.5796596
